,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
0,1,James Richardson-Patel,Alexandra Williams,KEBE17609492220843,0,0.252448306,0.0,2015-12-10T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,50000.0,,,,,,,,,,1766880.0,0.0,12.0,0.0,2003.0,Acima de 17 anos,90000.0,False,True,1.0,43200.0,2020-02-03T20:57:33
2,3,Joanna Hudson,Dr. David Rees,GCVQ28531614261293,4,0.6247772648,0.0,2019-11-27T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,20000.0,,,,,,,,,,2814940.0,0.0,7.0,0.0,2014.0,De 6 a 10 anos,20000.0,False,True,1.0,4320.0,2020-02-04T16:40:49
4,5,Nigel Lee,Dr. Stanley Duncan,CGQN15826802440348,20,0.4540878993,0.0,2010-07-13T00:00:00,20,1486.95,50000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,50000.0,,2019-09-30T00:00:00,14758917.0,12149031.0,25793410.0,14544378.0,3039112.0,11797928.0,3047791.0,40779757.0,81459809.0,9.0,40680051.0,2002.0,Acima de 17 anos,75000.0,False,False,1.0,89000.0,2020-02-04T15:06:28
8,9,Elliot Stephenson,Adrian Graham,LOVL82962402474134,43,0.2458177861,0.0,2006-07-10T00:00:00,27,6432.0,400000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,400000.0,,2018-12-31T02:00:00,36827690.0,13843198.0,39455945.0,25612746.0,0.0,15980275.0,11420388.0,72479551.0,6233236.0,12.0,-49267738.0,2000.0,Acima de 17 anos,1000000.0,False,False,1.0,6910219.0,2020-02-05T20:07:07
14,15,Anthony Moore-Jones,Terence Dean-Thompson,XLNC07002754445884,4,0.3145752451,0.0,2019-03-08T00:00:00,0,0.0,200000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7924528301886792,0.2075471698113207,-0.866025403784438,200000.0,,2018-12-31T02:00:00,11780048.0,11680162.0,12582116.0,901953.0,1567918.0,6873822.0,2017848.0,36783195.0,-312950.0,12.0,-25744597.0,1990.0,Acima de 17 anos,530000.0,False,False,1.0,3257020.0,2020-02-05T16:06:44
18,19,Mr. John Clarke,Nicola Vaughan,IOFP88433962679693,4,0.0,,2018-06-13T17:43:00,0,0.0,350000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,-0.866025403784439,350000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499026.0,116371889.0,42968287.0,538430217.0,10216020.0,12.0,-346633805.0,1992.0,Acima de 17 anos,2000000.0,True,False,0.0,0.0,2020-02-06T13:56:55
19,20,Brian Harris,Dr. Jeremy Thomas,EVNK64152188336281,5,0.3941183759,0.0,2016-01-20T00:00:00,0,0.0,2000000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,1600000.0,,2018-12-31T02:00:00,1164378.0,50773.0,1164378.0,1113605.0,0.0,0.0,0.0,57950454.0,18419747.0,12.0,39530707.0,1994.0,Acima de 17 anos,4500000.0,False,False,0.9999758553,7057328.0,2020-02-13T19:25:07
25,26,Barry Whitehead,Mrs. Dawn Kay,LSWO05242442631373,14,0.2860282532,0.0,2009-06-17T00:00:00,0,0.0,300000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,300000.0,,,,,,,,,,30348455.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,1000000.0,False,False,1.0,1895888.0,2020-02-19T13:22:46
28,29,Robin Turner,Mr. Terence Johnson,XYYW56476871254905,4,0.4412714583,0.0,2018-04-25T00:00:00,0,0.0,100000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,-0.866025403784439,100000.0,,2018-12-31T02:00:00,7906301.0,26941726.0,7906301.0,7492447.0,0.0,3019632.0,2086571.0,23161787.0,5752085.0,12.0,14712042.0,2014.0,De 6 a 10 anos,150000.0,False,True,1.0,102862.0,2020-02-06T14:07:01
37,38,Dr. Henry Jones,Toby Taylor,RKYL60948261495604,3,0.4576666993,0.0,2009-06-29T00:00:00,0,0.0,30000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,30000.0,,,,,,,,,,3359403.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,78800.0,False,True,1.0,52800.0,2020-02-05T18:37:57
38,39,Carly Murphy,Dr. Wayne Williams,DXVE26432648734958,4,0.5318418029,0.0,2011-08-16T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,20000.0,,,,,,,,,,2316989.0,0.0,12.0,0.0,2010.0,De 6 a 10 anos,99800.0,False,True,1.0,88000.0,2020-02-05T18:39:17
40,41,Danny Kennedy,Paige Simpson,IJVB13269462571891,3,0.0,,2011-08-02T17:13:06,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8490566037735849,0.150943396226415,0.0,20000.0,,,,,,,,,,5159452.0,0.0,6.0,0.0,1992.0,Acima de 17 anos,200000.0,False,False,0.0,1091250.0,2020-02-06T20:38:55
42,43,Dr. Michael North,Leah Sheppard,IYZA05872767332466,2,0.0,,2013-09-30T17:15:04,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,20000.0,,2019-12-31T00:00:00,437853.0,272388.0,450614.0,178225.0,0.0,0.0,201085.0,624350.0,-3319.0,12.0,-431401.0,2008.0,De 11 a 16 anos,40000.0,False,True,0.0,10800.0,2020-02-05T18:48:03
43,44,Mrs. Tina Cox,William Miller,SLUA32337517673766,0,0.3589796807,0.0,2018-01-09T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,20000.0,,,,,,,,,,47595914.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,550000.0,False,False,1.0,3687008.0,2020-02-05T18:49:27
