,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
3,4,Gordon Jones-Hopkins,Sara Reid-Robson,KJND32266018316396,20,0.0,,2017-02-13T17:20:27,0,0.0,25000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,0.485811098701238,15000.0,,,,,,,,,,1285274.0,0.0,12.0,0.0,2013.0,De 6 a 10 anos,30000.0,False,True,0.0,5920.0,2020-02-04T16:37:52
21,22,Marilyn Chan-Anderson,Raymond Parker,PCVI24213068479712,60,0.3757811558,0.0,2014-03-31T00:00:00,1,2400.02,350000.0,AprovadoComite,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.999990121860262,180000.0,2020-02-07T18:57:37,2018-12-31T02:00:00,1164378.0,1164378.0,1164378.0,1113605.0,0.0,0.0,0.0,1976986.0,339799.0,12.0,832480.0,2008.0,De 11 a 16 anos,50000.0,True,True,0.6913422987,46253.0,
33,34,Mr. Josh Parker,Mohamed Walker,AJIA58482400691635,807,0.0,,2007-07-02T17:09:55,0,0.0,20000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,-0.0357139149469988,10000.0,,,,,,,,,,0.0,0.0,1.0,0.0,1992.0,Acima de 17 anos,1400000.0,False,True,0.0,527934.0,2020-02-05T17:21:49
39,40,Mr. Thomas Ward,Pamela Jackson,WGWU96704999062054,17,0.0,,2018-10-05T17:27:12,0,0.0,15000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3396226415094339,0.660377358490566,-0.866025403784439,10000.0,,,,,,,,,,102444.0,0.0,7.0,0.0,2016.0,De 0 a 5 anos,95400.0,False,True,0.0,1600.0,2020-02-05T18:41:20
46,49,Miss Olivia Charlton,Martin Horton,LAOH78168410122240,10,0.3908721543,0.0,2014-11-06T00:00:00,0,0.0,40000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.802648386804539,15000.0,,,,,,,,,,1019546.0,0.0,12.0,0.0,2000.0,Acima de 17 anos,10000.0,False,True,1.0,5920.0,2020-02-05T18:54:53
54,57,Gordon Jones-Hopkins,Sara Reid-Robson,KJND32266018316396,20,0.0,,2017-02-13T17:20:27,0,0.0,22000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.685620325804012,15000.0,,,,,,,,,,1285274.0,0.0,12.0,0.0,2013.0,De 6 a 10 anos,30000.0,False,True,0.0,5920.0,2020-02-05T16:09:52
58,61,Julia Williams,Sandra Campbell,LOHT42032319683132,18,0.2911279282,0.0,2013-12-04T00:00:00,67,100850.04,50000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.866025403784439,,,,,,,,,,,8983936.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,95400.0,True,True,0.9626872291,0.0,
60,63,John Mason,Natalie Law-Allen,OQOK79209296914616,18,0.0,,2017-11-28T17:03:44,0,0.0,100000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4150943396226415,0.5849056603773584,0.63795180211553,40000.0,,,,,,,,,,10631840.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,95400.0,False,True,0.0,8500.0,2020-02-06T15:04:37
70,74,Dr. Lisa Fry,Toby Taylor,BLKC38813122527211,5,0.2815035093,0.0,2016-09-02T00:00:00,0,0.0,10000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3773584905660377,0.6226415094339622,0.0,10000.0,,,,,,,,,,1185074.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,88000.0,False,True,0.8178895877,7040.0,2020-02-05T20:15:04
76,82,Dr. Sean Adams,Tracy Collins,TNLN84241632543111,33,0.0,,2018-10-31T10:41:59,0,0.0,3000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.866025403784439,3000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2006.0,De 11 a 16 anos,300000.0,False,True,0.0,63000.0,2020-02-06T17:30:44
