,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
4,5,Nigel Lee,Dr. Stanley Duncan,CGQN15826802440348,20,0.4540878993,0.0,2010-07-13T00:00:00,20,1486.95,50000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,50000.0,,2019-09-30T00:00:00,14758917.0,12149031.0,25793410.0,14544378.0,3039112.0,11797928.0,3047791.0,40779757.0,81459809.0,9.0,40680051.0,2002.0,Acima de 17 anos,75000.0,False,False,1.0,89000.0,2020-02-04T15:06:28
6,7,Alexander Baker-Wells,Dr. Caroline Ali,PYOL43118620147076,16,0.0,,2011-03-02T11:27:13,0,0.0,100000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-0.997517069602544,80000.0,,,,,,,,,,239016696.0,-7540544.0,12.0,156394112.0,1982.0,Acima de 17 anos,30515674.0,True,False,0.0,18132588.0,2020-02-05T14:31:22
7,8,Jean Berry,Gregory Gould,NLUX93496216176463,4,0.3501754325,0.0,2007-07-02T00:00:00,102,208980.0,300000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,300000.0,,2019-09-30T03:00:00,17801610.0,2538069.0,19415777.0,7519758.0,0.0,3742963.0,11902384.0,11958227.0,9357949.0,9.0,0.0,2000.0,Acima de 17 anos,120000.0,False,False,1.0,768233.0,2020-02-05T20:05:40
8,9,Elliot Stephenson,Adrian Graham,LOVL82962402474134,43,0.2458177861,0.0,2006-07-10T00:00:00,27,6432.0,400000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,400000.0,,2018-12-31T02:00:00,36827690.0,13843198.0,39455945.0,25612746.0,0.0,15980275.0,11420388.0,72479551.0,6233236.0,12.0,-49267738.0,2000.0,Acima de 17 anos,1000000.0,False,False,1.0,6910219.0,2020-02-05T20:07:07
11,12,Ellie Turner,Mohamed Welch,ELQK41348591516215,26,0.0,,2017-12-20T17:03:32,0,0.0,200000.0,AprovadoComite,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-3e-15,50000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,5369982.0,6118711.0,5595689.0,-720844.0,1715000.0,115000.0,1693990.0,13871246.0,-772398.0,12.0,-9455401.0,2009.0,De 11 a 16 anos,600000.0,False,False,0.0,183509.0,
14,15,Anthony Moore-Jones,Terence Dean-Thompson,XLNC07002754445884,4,0.3145752451,0.0,2019-03-08T00:00:00,0,0.0,200000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7924528301886792,0.2075471698113207,-0.866025403784438,200000.0,,2018-12-31T02:00:00,11780048.0,11680162.0,12582116.0,901953.0,1567918.0,6873822.0,2017848.0,36783195.0,-312950.0,12.0,-25744597.0,1990.0,Acima de 17 anos,530000.0,False,False,1.0,3257020.0,2020-02-05T16:06:44
16,17,Daniel Shepherd,Charles Hughes,NXRJ16458301617069,19,0.0,,2009-05-30T11:49:31,0,0.0,3900000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,-0.750772914901916,3900000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499029.0,116371889.0,42968287.0,538430217.0,10216020.0,12.0,-346633805.0,1992.0,Acima de 17 anos,2000000.0,True,False,0.0,0.0,2020-02-06T15:02:37
18,19,Mr. John Clarke,Nicola Vaughan,IOFP88433962679693,4,0.0,,2018-06-13T17:43:00,0,0.0,350000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,-0.866025403784439,350000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499026.0,116371889.0,42968287.0,538430217.0,10216020.0,12.0,-346633805.0,1992.0,Acima de 17 anos,2000000.0,True,False,0.0,0.0,2020-02-06T13:56:55
19,20,Brian Harris,Dr. Jeremy Thomas,EVNK64152188336281,5,0.3941183759,0.0,2016-01-20T00:00:00,0,0.0,2000000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,1600000.0,,2018-12-31T02:00:00,1164378.0,50773.0,1164378.0,1113605.0,0.0,0.0,0.0,57950454.0,18419747.0,12.0,39530707.0,1994.0,Acima de 17 anos,4500000.0,False,False,0.9999758553,7057328.0,2020-02-13T19:25:07
23,24,Mr. Danny Davies,Gerard Marshall-Clarke,VPSW77029129679550,35,0.3104742762,0.0,2017-09-06T00:00:00,25,46949.3,320000.0,AprovadoComite,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,200000.0,2020-02-21T12:42:19,2019-06-30T03:00:00,436463830.0,463089426.0,732841447.0,-112089780.0,141143911.0,128135703.0,153339372.0,282662079.0,52217624.0,6.0,258298725.0,1996.0,Acima de 17 anos,96791092.0,True,False,0.7694721926,25641275.0,
25,26,Barry Whitehead,Mrs. Dawn Kay,LSWO05242442631373,14,0.2860282532,0.0,2009-06-17T00:00:00,0,0.0,300000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,300000.0,,,,,,,,,,30348455.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,1000000.0,False,False,1.0,1895888.0,2020-02-19T13:22:46
40,41,Danny Kennedy,Paige Simpson,IJVB13269462571891,3,0.0,,2011-08-02T17:13:06,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8490566037735849,0.150943396226415,0.0,20000.0,,,,,,,,,,5159452.0,0.0,6.0,0.0,1992.0,Acima de 17 anos,200000.0,False,False,0.0,1091250.0,2020-02-06T20:38:55
