,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
12,13,Kathleen Jones,Toby Coleman,TWLY57287382223459,3,0.0,,2019-10-10T11:47:29,0,0.0,1138000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,1138000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2017.0,De 0 a 5 anos,100000.0,False,True,0.0,33000.0,2020-02-04T17:42:58
39,40,Mr. Thomas Ward,Pamela Jackson,WGWU96704999062054,17,0.0,,2018-10-05T17:27:12,0,0.0,15000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3396226415094339,0.660377358490566,-0.866025403784439,10000.0,,,,,,,,,,102444.0,0.0,7.0,0.0,2016.0,De 0 a 5 anos,95400.0,False,True,0.0,1600.0,2020-02-05T18:41:20
41,42,Oliver Nelson,Diane Mellor,JNZU40131737101208,0,0.4327342124,0.0,2020-01-15T00:00:00,0,0.0,10000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.490566037735849,0.5094339622641509,0.0,,,,,,,,,,,172560.0,0.0,12.0,0.0,2019.0,De 0 a 5 anos,5000.0,False,True,1.0,1120.0,
47,50,Sylvia Bryant,Abbie McLean-Fowler,DFGK41630869614960,3,0.4353922101,0.0,2017-07-04T00:00:00,0,0.0,30000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,10000.0,,,,,,,,,,311260.0,0.0,12.0,0.0,2017.0,De 0 a 5 anos,10000.0,False,True,1.0,6400.0,2020-02-05T19:10:43
52,55,Kate Blackburn,Gareth Hussain,YIQH62542186185688,2,0.5607103857,0.0,2018-08-23T00:00:00,55,5400.0,20000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.0,20000.0,,,,,,,,,,6230653.0,0.0,12.0,0.0,2015.0,De 0 a 5 anos,300000.0,False,True,1.0,38000.0,2020-02-05T19:05:38
60,63,John Mason,Natalie Law-Allen,OQOK79209296914616,18,0.0,,2017-11-28T17:03:44,0,0.0,100000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4150943396226415,0.5849056603773584,0.63795180211553,40000.0,,,,,,,,,,10631840.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,95400.0,False,True,0.0,8500.0,2020-02-06T15:04:37
70,74,Dr. Lisa Fry,Toby Taylor,BLKC38813122527211,5,0.2815035093,0.0,2016-09-02T00:00:00,0,0.0,10000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3773584905660377,0.6226415094339622,0.0,10000.0,,,,,,,,,,1185074.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,88000.0,False,True,0.8178895877,7040.0,2020-02-05T20:15:04
79,85,Mr. Adrian Adams,Joyce Graham,BSBN05195401595404,0,0.0,,2019-03-29T17:28:13,0,0.0,40000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,0.0,40000.0,,,,,,,,,,29348689.0,0.0,12.0,0.0,2018.0,De 0 a 5 anos,600000.0,False,False,0.0,120000.0,2020-02-06T20:18:20
82,88,Maurice Booth,Miss Katy Marsden,BJAO26842530827099,14,0.3233516937,0.0,2018-09-27T00:00:00,49,36118.88,50000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.901492129408418,40000.0,,,,,,,,,,1746101.0,0.0,7.0,0.0,2017.0,De 0 a 5 anos,100000.0,False,True,0.8808792156,2700.0,2020-02-06T20:05:48
86,92,Clifford Cooper,Justin Quinn-Stanley,CKWJ48521633259803,5,0.526992319,0.0,2018-02-15T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.0,40000.0,,,,,,,,,,3809828.0,0.0,12.0,0.0,2017.0,De 0 a 5 anos,20000.0,False,False,1.0,7220.0,2020-02-07T19:48:40
91,97,Miss Shirley Foster,Brian Gregory,XDTE66508836247286,7,0.3063343254,0.0,2017-08-22T00:00:00,0,0.0,40000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5283018867924528,0.4716981132075471,0.118142230293384,40000.0,,2019-05-31T00:00:00,4132781.0,3404510.0,4134251.0,658645.0,1121551.0,2006316.0,860678.0,4036098.0,729740.0,5.0,4221383.0,2015.0,De 0 a 5 anos,210000.0,False,True,0.8843274212,426377.0,2020-02-06T20:57:55
92,98,Georgia Stone-Moore,Frank Bennett,SEIZ73772431891569,3,0.4621624103,0.0,2019-06-21T00:00:00,9,2100.0,25000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,0.0,25000.0,,2019-06-30T00:00:00,797131.0,614272.0,797131.0,548878.0,0.0,0.0,129170.0,591755.0,182859.0,6.0,14983.0,2015.0,De 0 a 5 anos,150000.0,False,True,1.0,35200.0,2020-02-07T13:13:17
95,101,Dr. Denis Parsons,Mrs. Brenda Howell,ZQEO47674401851283,5,0.0,,2019-06-07T15:54:14,0,0.0,5000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,-0.866025403784439,5000.0,,,,,,,,,,283812.0,0.0,12.0,0.0,2018.0,De 0 a 5 anos,10000.0,False,True,0.0,2560.0,2020-02-07T19:38:57
96,102,Simon Baxter,Ms. Julia Allen,UBAR40967470969591,0,0.0,,2016-03-24T17:19:42,0,0.0,15000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.490566037735849,0.5094339622641509,0.0,15000.0,,,,,,,,,,1071109.0,0.0,12.0,0.0,2015.0,De 0 a 5 anos,50000.0,False,True,0.0,151800.0,2020-02-07T21:11:17
101,107,Malcolm Rahman,Margaret Jones,JMSC79005406105837,29,0.3969189612,0.0,2019-03-19T00:00:00,0,28978.33,40000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,-0.866025403784439,35000.0,,2018-12-31T00:00:00,2828807.0,1866258.0,2861671.0,995412.0,66421.0,604701.0,1588000.0,4354088.0,1907167.0,12.0,2446921.0,2016.0,De 0 a 5 anos,100000.0,False,False,1.0,3700.0,2020-02-07T21:41:55
102,108,Shaun Sanders,Diana Wells-Robinson,VQUA74680885687084,82,0.5255814394,0.0,2016-10-28T00:00:00,0,0.0,30000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3396226415094339,0.660377358490566,0.973379001625139,5000.0,,,,,,,,,,328075.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,30000.0,False,True,0.1028686542,2560.0,2020-02-07T21:47:21
104,110,Donna Rhodes,Mr. Joseph Burrows,AKVW12349274211282,15,0.0,,2018-05-08T17:26:11,0,0.0,20000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.490566037735849,0.5094339622641509,0.0,10000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2015.0,De 0 a 5 anos,1000.0,False,True,0.0,3500.0,2020-02-07T15:29:16
105,111,Gail Davies,Neil Barnes,RSEM36800686606940,7,0.0,,2018-11-29T17:27:35,0,0.0,20000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,-0.866025403784439,10000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2018.0,De 0 a 5 anos,5000.0,False,True,0.0,1400.0,2020-02-07T20:00:43
108,114,Lynne Moore,Mr. Elliot Henry,JHFT04399225850712,24,0.2646673902,0.0,2017-01-16T00:00:00,0,0.0,130000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,0.866025403784439,100000.0,,2018-12-31T02:00:00,1720249.0,187745.0,1762231.0,945470.0,97341.0,512793.0,555877.0,3818823.0,181467.0,12.0,-1816507.0,2015.0,De 0 a 5 anos,600000.0,False,True,0.9346440968,13200.0,2020-02-07T18:25:16
113,119,Mr. Kevin Clark,Mr. Brandon Davies,GSHZ23277827583812,6,0.4315224568,0.0,2017-01-19T00:00:00,42,41017.32,100000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,70000.0,,2018-12-31T02:00:00,1902367.0,1616061.0,1499139.0,46595.0,369661.0,474199.0,1144619.0,10817059.0,3780585.0,12.0,-7036474.0,2016.0,De 0 a 5 anos,850000.0,False,True,0.8210720736,81000.0,2020-02-07T21:34:00
118,124,Kyle Dixon,Elliott Thompson,AISX72495193411291,0,0.2668652632,0.0,2019-01-29T00:00:00,0,0.0,15000.0,ReprovadoComite,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,0.0,,,,,,,,,,,718353.0,0.0,12.0,0.0,2019.0,De 0 a 5 anos,80000.0,False,False,1.0,3200.0,
121,127,Dale O'Sullivan-Moore,Nathan Jones,KDZJ41266928454221,19,0.4798450253,0.0,2018-10-22T00:00:00,41,8880.0,20000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5471698113207547,0.4528301886792452,0.0,10000.0,,2019-11-30T00:00:00,380473.0,179026.0,511372.0,332345.0,0.0,0.0,0.0,708370.0,0.0,12.0,0.0,2018.0,De 0 a 5 anos,95700.0,False,True,1.0,8640.0,2020-02-07T20:05:51
124,130,Miss Elaine Nicholson,Hazel Brown,HMLH49235417615497,0,0.0,,2020-01-28T16:32:57,0,0.0,70000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,0.0,,,2019-08-31T03:00:00,3488992.0,4433602.0,3592780.0,472217.0,3658024.0,824895.0,1063783.0,3103851.0,279674.0,8.0,-2824177.0,2017.0,De 0 a 5 anos,200000.0,True,False,0.0,5400.0,
127,133,Andrew Barlow,Dr. Barry Carpenter,ZBJI53890581783095,4,0.3748695035,0.0,2018-03-13T00:00:00,39,7050.0,20000.0,AprovadoComite,De 51 a 80 % - Alto,0.3773584905660377,0.6226415094339622,0.0,20000.0,2020-02-12T18:47:52,,,,,,,,,566902.0,0.0,12.0,0.0,2017.0,De 0 a 5 anos,100000.0,False,True,0.9680354669,17600.0,
137,143,Mark Bishop,Dr. Lisa Myers,BAUG41274306305986,7,0.0,,2019-11-06T17:29:22,0,0.0,5000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,-0.866025403784439,5000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2018.0,De 0 a 5 anos,10000.0,False,True,0.0,1400.0,2020-02-12T20:39:24
143,150,Janet Barnes,Clifford Allan,XSME54122165353551,30,0.316048996,0.0,2019-10-28T00:00:00,32,8300.0,80000.0,AprovadoComite,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,80000.0,2020-02-07T19:52:06,2019-08-31T03:00:00,2564574.0,2639904.0,2564574.0,1301027.0,0.0,1881929.0,348785.0,1023736.0,255830.0,8.0,541342.0,2017.0,De 0 a 5 anos,100000.0,False,True,1.0,720.0,
146,153,Mandy Morgan,Miss Sharon Wood,ZYMM04015018312932,27,0.3770236341,0.0,2017-11-23T00:00:00,67,387169.99,430000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.866025403784439,430000.0,,2019-12-31T03:00:00,3771685.0,1162422.0,5640927.0,4478504.0,0.0,370010.0,3134632.0,27087480.0,3872376.0,12.0,19867576.0,2017.0,De 0 a 5 anos,390000.0,True,True,1.0,2700.0,2020-02-07T18:16:20
155,163,Catherine Marshall-Thompson,Maria Dyer,JKAF93512474786620,5,0.5440276558,0.0,2018-07-26T00:00:00,8,4800.0,35000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.490566037735849,0.5094339622641509,0.0,35500.0,,,,,,,,,,1714093.0,0.0,12.0,0.0,2018.0,De 0 a 5 anos,30000.0,False,True,1.0,1400.0,2020-02-11T17:26:13
158,166,Ms. Angela Mitchell,Mrs. Laura Marshall,XTAS23139808415165,0,0.0,,2019-04-11T17:28:17,0,0.0,15000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,0.0,15000.0,,,,,,,,,,2444556.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,100000.0,False,True,0.0,95882.0,2020-02-07T21:06:11
159,167,Gary Jenkins,Tracy Collins,VNIN30519701991786,0,0.0,,2019-01-09T10:49:30,0,0.0,3000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,3000.0,,,,,,,,,,1.0,0.0,1.0,0.0,2016.0,De 0 a 5 anos,100000.0,False,True,0.0,52500.0,2020-02-07T21:06:45
162,170,Mr. Mohamed Howard,Linda Bradley,VVSW90409251685348,5,0.4123162857,0.0,2018-12-05T00:00:00,0,20797.0,107000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,0.0,50000.0,,2019-12-31T03:00:00,297327.0,88730.0,514739.0,420146.0,0.0,0.0,278908.0,1668975.0,0.0,12.0,0.0,2018.0,De 0 a 5 anos,100000.0,False,True,1.0,7040.0,2020-02-07T21:00:33
172,180,Sophie Williams-Craig,Mr. Guy Lamb,AMVK70950785139481,9,0.6533681481,0.0,2017-04-26T00:00:00,723,513580.14,600000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,-0.98453788288906,600000.0,,2018-12-31T02:00:00,16073062.0,12621611.0,23686202.0,11064590.0,2080688.0,7407466.0,7159061.0,45143557.0,11108232.0,12.0,27454494.0,2015.0,De 0 a 5 anos,99800.0,False,False,0.9861354842,1746180.0,2020-02-11T18:43:06
173,181,Georgia Taylor,Darren Hawkins,KEWI90886293063499,4,0.0,,2018-09-20T17:27:06,0,0.0,15000.0,ReprovadoComite,De 31 a 50 % - Médio,0.5471698113207547,0.4528301886792452,-0.866025403784439,,,,,,,,,,,1501183.0,0.0,12.0,0.0,2018.0,De 0 a 5 anos,80000.0,False,True,0.0,4400.0,
179,187,Martyn Davies,Mr. Harry Simpson,JWXZ63129926455568,0,0.3690284524,0.0,2019-02-12T00:00:00,0,0.0,25000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,25000.0,,2018-12-31T00:00:00,908663.0,277211.0,919587.0,642376.0,0.0,98436.0,73509.0,3593550.0,714483.0,12.0,2879067.0,2015.0,De 0 a 5 anos,78800.0,False,True,1.0,201630.0,2020-02-13T12:56:37
188,197,Mr. Benjamin Lewis,Joshua Jones,NEAH59875723026239,4,0.0,,2018-09-20T15:23:18,0,0.0,50000.0,AprovadoComite,De 31 a 50 % - Médio,0.5471698113207547,0.4528301886792452,-2e-16,50000.0,2020-02-12T17:33:10,2018-12-31T00:00:00,1895104.0,1574589.0,1927104.0,0.0,0.0,491707.0,1318549.0,2416870.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,550000.0,False,True,0.0,30400.0,
198,207,Mrs. Amber Ward,Dale Knight,OYVS59562613587408,6,0.5578428231,0.0,2019-04-15T00:00:00,10,73970.0,41000.0,AprovadoComite,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,40000.0,2020-02-12T20:47:37,,,,,,,,,5201591.0,0.0,12.0,0.0,2017.0,De 0 a 5 anos,100000.0,False,True,1.0,0.0,
203,212,Bryan Humphreys,Andrew Lane-Barry,DMPZ92267995656755,3,0.0,,2017-12-31T16:34:08,0,0.0,50000.0,AprovadoComite,De 11 a 30 % - Baixo,0.7924528301886792,0.2075471698113207,0.0,50000.0,2020-02-12T20:49:06,2018-10-31T00:00:00,70513846.0,57589082.0,102169334.0,29804631.0,10369730.0,22811551.0,34808268.0,281864166.0,106702039.0,12.0,175162127.0,2015.0,De 0 a 5 anos,28000.0,False,False,0.0,0.0,
208,217,Justin Barber,Ms. Jacqueline Blake,EFWO30725556850914,0,0.0,,2019-02-21T10:58:05,0,0.0,15000.0,AprovadoComite,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,15000.0,2020-02-12T20:53:51,,,,,,,,,582389.0,0.0,12.0,0.0,2017.0,De 0 a 5 anos,93700.0,False,True,0.0,94500.0,
211,220,Lawrence Khan,Aimee Edwards-Miles,KWFT02794620885191,20,0.5091346392,0.0,2018-08-27T00:00:00,0,0.0,10000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.933116498042536,10000.0,,,,,,,,,,0.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,90000.0,False,False,1.0,6467.0,2020-02-13T18:26:37
213,222,Connor Saunders,Ellie Davies-Skinner,ANAY78386466310038,14,0.397272031,0.0,2018-05-18T00:00:00,119,9447.33,20000.0,AprovadoComite,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.866025403784439,5000.0,2020-02-12T20:58:05,,,,,,,,,864850.0,0.0,12.0,0.0,2018.0,De 0 a 5 anos,50000.0,False,False,1.0,2200.0,
220,229,Lynne Moore,Mr. Elliot Henry,JHFT04399225850712,24,0.2646673902,0.0,2017-01-16T00:00:00,0,0.0,130000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,0.866025403784439,,,2018-12-31T02:00:00,1720249.0,187745.0,1762231.0,945470.0,97341.0,512793.0,555877.0,3818823.0,181467.0,12.0,-1816507.0,2015.0,De 0 a 5 anos,600000.0,False,True,0.9346440968,13200.0,
