,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
0,1,James Richardson-Patel,Alexandra Williams,KEBE17609492220843,0,0.252448306,0.0,2015-12-10T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,50000.0,,,,,,,,,,1766880.0,0.0,12.0,0.0,2003.0,Acima de 17 anos,90000.0,False,True,1.0,43200.0,2020-02-03T20:57:33
2,3,Joanna Hudson,Dr. David Rees,GCVQ28531614261293,4,0.6247772648,0.0,2019-11-27T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,20000.0,,,,,,,,,,2814940.0,0.0,7.0,0.0,2014.0,De 6 a 10 anos,20000.0,False,True,1.0,4320.0,2020-02-04T16:40:49
3,4,Gordon Jones-Hopkins,Sara Reid-Robson,KJND32266018316396,20,0.0,,2017-02-13T17:20:27,0,0.0,25000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,0.485811098701238,15000.0,,,,,,,,,,1285274.0,0.0,12.0,0.0,2013.0,De 6 a 10 anos,30000.0,False,True,0.0,5920.0,2020-02-04T16:37:52
4,5,Nigel Lee,Dr. Stanley Duncan,CGQN15826802440348,20,0.4540878993,0.0,2010-07-13T00:00:00,20,1486.95,50000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,50000.0,,2019-09-30T00:00:00,14758917.0,12149031.0,25793410.0,14544378.0,3039112.0,11797928.0,3047791.0,40779757.0,81459809.0,9.0,40680051.0,2002.0,Acima de 17 anos,75000.0,False,False,1.0,89000.0,2020-02-04T15:06:28
5,6,Liam Jackson,Gerard Gordon,KAYS53232027306925,0,0.0,,2019-06-28T10:25:57,0,0.0,25000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,0.0,20000.0,,,,,,,,,,918476.0,0.0,12.0,0.0,2011.0,De 6 a 10 anos,15000.0,False,True,0.0,38400.0,2020-02-04T15:10:46
7,8,Jean Berry,Gregory Gould,NLUX93496216176463,4,0.3501754325,0.0,2007-07-02T00:00:00,102,208980.0,300000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,300000.0,,2019-09-30T03:00:00,17801610.0,2538069.0,19415777.0,7519758.0,0.0,3742963.0,11902384.0,11958227.0,9357949.0,9.0,0.0,2000.0,Acima de 17 anos,120000.0,False,False,1.0,768233.0,2020-02-05T20:05:40
8,9,Elliot Stephenson,Adrian Graham,LOVL82962402474134,43,0.2458177861,0.0,2006-07-10T00:00:00,27,6432.0,400000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,400000.0,,2018-12-31T02:00:00,36827690.0,13843198.0,39455945.0,25612746.0,0.0,15980275.0,11420388.0,72479551.0,6233236.0,12.0,-49267738.0,2000.0,Acima de 17 anos,1000000.0,False,False,1.0,6910219.0,2020-02-05T20:07:07
10,11,Katie Lawson,Patricia Reynolds,SVXA16230297135119,7,0.0,,2012-02-24T16:01:26,0,0.0,1000000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,-0.50915157320154,800000.0,,2019-06-30T03:00:00,2127907.0,704245.0,3609498.0,2538787.0,366465.0,973971.0,942096.0,4575646.0,296634.0,6.0,-3299332.0,2011.0,De 6 a 10 anos,20000.0,False,True,0.0,81000.0,2020-02-05T15:15:10
11,12,Ellie Turner,Mohamed Welch,ELQK41348591516215,26,0.0,,2017-12-20T17:03:32,0,0.0,200000.0,AprovadoComite,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-3e-15,50000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,5369982.0,6118711.0,5595689.0,-720844.0,1715000.0,115000.0,1693990.0,13871246.0,-772398.0,12.0,-9455401.0,2009.0,De 11 a 16 anos,600000.0,False,False,0.0,183509.0,
12,13,Kathleen Jones,Toby Coleman,TWLY57287382223459,3,0.0,,2019-10-10T11:47:29,0,0.0,1138000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,1138000.0,,,,,,,,,,0.0,0.0,1.0,0.0,2017.0,De 0 a 5 anos,100000.0,False,True,0.0,33000.0,2020-02-04T17:42:58
14,15,Anthony Moore-Jones,Terence Dean-Thompson,XLNC07002754445884,4,0.3145752451,0.0,2019-03-08T00:00:00,0,0.0,200000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7924528301886792,0.2075471698113207,-0.866025403784438,200000.0,,2018-12-31T02:00:00,11780048.0,11680162.0,12582116.0,901953.0,1567918.0,6873822.0,2017848.0,36783195.0,-312950.0,12.0,-25744597.0,1990.0,Acima de 17 anos,530000.0,False,False,1.0,3257020.0,2020-02-05T16:06:44
15,16,Karen Manning,Gavin Coleman,WHQL39719346986330,28,0.0,,2011-08-08T11:28:00,0,0.0,750000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.961985288352223,750000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499029.0,116371889.0,42968287.0,538430217.0,10266414.0,12.0,-346633805.0,1999.0,Acima de 17 anos,100000.0,False,True,0.0,349779.0,2020-02-05T20:34:47
19,20,Brian Harris,Dr. Jeremy Thomas,EVNK64152188336281,5,0.3941183759,0.0,2016-01-20T00:00:00,0,0.0,2000000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,1600000.0,,2018-12-31T02:00:00,1164378.0,50773.0,1164378.0,1113605.0,0.0,0.0,0.0,57950454.0,18419747.0,12.0,39530707.0,1994.0,Acima de 17 anos,4500000.0,False,False,0.9999758553,7057328.0,2020-02-13T19:25:07
20,21,Dr. Terry Smith,Dr. Mary Stokes,HMFO23636187362512,40,0.458051889,0.0,2017-11-22T00:00:00,0,12882.35,34000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,-0.866025403784439,34000.0,,,,,,,,,,2915470.0,1034268.0,12.0,-852138.0,2009.0,De 11 a 16 anos,150000.0,False,True,1.0,2700.0,2020-02-05T20:08:45
