,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
6,7,Alexander Baker-Wells,Dr. Caroline Ali,PYOL43118620147076,16,0.0,,2011-03-02T11:27:13,0,0.0,100000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-0.997517069602544,80000.0,,,,,,,,,,239016696.0,-7540544.0,12.0,156394112.0,1982.0,Acima de 17 anos,30515674.0,True,False,0.0,18132588.0,2020-02-05T14:31:22
16,17,Daniel Shepherd,Charles Hughes,NXRJ16458301617069,19,0.0,,2009-05-30T11:49:31,0,0.0,3900000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,-0.750772914901916,3900000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499029.0,116371889.0,42968287.0,538430217.0,10216020.0,12.0,-346633805.0,1992.0,Acima de 17 anos,2000000.0,True,False,0.0,0.0,2020-02-06T15:02:37
18,19,Mr. John Clarke,Nicola Vaughan,IOFP88433962679693,4,0.0,,2018-06-13T17:43:00,0,0.0,350000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,-0.866025403784439,350000.0,,2018-12-31T02:00:00,198271531.0,107180320.0,218446735.0,111266414.0,10499026.0,116371889.0,42968287.0,538430217.0,10216020.0,12.0,-346633805.0,1992.0,Acima de 17 anos,2000000.0,True,False,0.0,0.0,2020-02-06T13:56:55
21,22,Marilyn Chan-Anderson,Raymond Parker,PCVI24213068479712,60,0.3757811558,0.0,2014-03-31T00:00:00,1,2400.02,350000.0,AprovadoComite,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.999990121860262,180000.0,2020-02-07T18:57:37,2018-12-31T02:00:00,1164378.0,1164378.0,1164378.0,1113605.0,0.0,0.0,0.0,1976986.0,339799.0,12.0,832480.0,2008.0,De 11 a 16 anos,50000.0,True,True,0.6913422987,46253.0,
23,24,Mr. Danny Davies,Gerard Marshall-Clarke,VPSW77029129679550,35,0.3104742762,0.0,2017-09-06T00:00:00,25,46949.3,320000.0,AprovadoComite,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,200000.0,2020-02-21T12:42:19,2019-06-30T03:00:00,436463830.0,463089426.0,732841447.0,-112089780.0,141143911.0,128135703.0,153339372.0,282662079.0,52217624.0,6.0,258298725.0,1996.0,Acima de 17 anos,96791092.0,True,False,0.7694721926,25641275.0,
27,28,Declan Bolton,Marcus Stewart,GMDC41398326600676,0,0.0,,2019-12-19T17:29:40,0,0.0,15000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,,,,,,,,,,,47730.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,72400.0,True,True,0.0,0.0,
36,37,Dr. Leslie Mitchell,Brandon Lewis,UQUH72595348437743,135,0.387283882,0.0,2018-06-13T00:00:00,0,0.0,30000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,-0.929780077034291,,,2019-12-31T00:00:00,1592690.0,1592690.0,1592690.0,1165590.0,0.0,0.0,1475537.0,1421389.0,1387232.0,12.0,2554508.0,2012.0,De 6 a 10 anos,100000.0,True,True,1.0,0.0,
44,45,Philip Haynes,Dr. Luke Perkins,TVUP59036702738493,2,0.0,,2017-05-18T17:21:49,0,0.0,15000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,11000.0,,,,,,,,,,756924.0,0.0,12.0,0.0,1994.0,Acima de 17 anos,30000.0,True,True,0.0,12800.0,2020-02-05T16:18:55
48,51,Dr. Billy Wells,Dr. Christopher Saunders,DDGD62654890764375,3,0.3533614354,0.0,2018-03-22T00:00:00,0,0.0,80000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,0.0,,,2019-10-31T03:00:00,17040601.0,10487000.0,17603497.0,1931629.0,2268831.0,10328670.0,6615614.0,438103964.0,2916036.0,12.0,-27592668.0,2008.0,De 11 a 16 anos,600000.0,True,True,1.0,2700.0,
50,53,Toby Atkins,Dr. Christopher Saunders,DDMD82941295966539,6,0.3720908912,0.0,2018-01-31T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5283018867924528,0.4716981132075471,-0.866025403784439,50000.0,,,,,,,,,,43810396.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,600000.0,True,True,1.0,2700.0,2020-02-06T16:52:55
