,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
11,12,Ellie Turner,Mohamed Welch,ELQK41348591516215,26,0.0,,2017-12-20T17:03:32,0,0.0,200000.0,AprovadoComite,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-3e-15,50000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,5369982.0,6118711.0,5595689.0,-720844.0,1715000.0,115000.0,1693990.0,13871246.0,-772398.0,12.0,-9455401.0,2009.0,De 11 a 16 anos,600000.0,False,False,0.0,183509.0,
21,22,Marilyn Chan-Anderson,Raymond Parker,PCVI24213068479712,60,0.3757811558,0.0,2014-03-31T00:00:00,1,2400.02,350000.0,AprovadoComite,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.999990121860262,180000.0,2020-02-07T18:57:37,2018-12-31T02:00:00,1164378.0,1164378.0,1164378.0,1113605.0,0.0,0.0,0.0,1976986.0,339799.0,12.0,832480.0,2008.0,De 11 a 16 anos,50000.0,True,True,0.6913422987,46253.0,
23,24,Mr. Danny Davies,Gerard Marshall-Clarke,VPSW77029129679550,35,0.3104742762,0.0,2017-09-06T00:00:00,25,46949.3,320000.0,AprovadoComite,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,200000.0,2020-02-21T12:42:19,2019-06-30T03:00:00,436463830.0,463089426.0,732841447.0,-112089780.0,141143911.0,128135703.0,153339372.0,282662079.0,52217624.0,6.0,258298725.0,1996.0,Acima de 17 anos,96791092.0,True,False,0.7694721926,25641275.0,
90,96,Dr. Claire Robinson,Dr. Stewart Waters,JSQJ85113702745505,4,0.3732162181,0.0,2013-07-11T00:00:00,9,5666.66,30000.0,AprovadoComite,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,30000.0,2020-02-12T20:24:50,,,,,,,,,35478786.0,0.0,12.0,0.0,2007.0,De 11 a 16 anos,100000.0,False,False,1.0,0.0,
93,99,Tina Smith,Mrs. Jenna Turner,IIPH49121092178711,111,0.3989325523,0.0,2009-09-10T00:00:00,0,0.0,35000.0,AprovadoComite,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.0,35000.0,2020-02-12T20:45:57,,,,,,,,,271387.0,0.0,3.0,0.0,1997.0,Acima de 17 anos,10000.0,True,True,1.0,7400.0,
127,133,Andrew Barlow,Dr. Barry Carpenter,ZBJI53890581783095,4,0.3748695035,0.0,2018-03-13T00:00:00,39,7050.0,20000.0,AprovadoComite,De 51 a 80 % - Alto,0.3773584905660377,0.6226415094339622,0.0,20000.0,2020-02-12T18:47:52,,,,,,,,,566902.0,0.0,12.0,0.0,2017.0,De 0 a 5 anos,100000.0,False,True,0.9680354669,17600.0,
138,145,Miss Dorothy Phillips,Mr. Kenneth Brooks,SPWA04763690788971,23,0.5536921381,0.0,2007-03-15T00:00:00,0,0.0,30000.0,AprovadoComite,De 11 a 30 % - Baixo,0.7735849056603773,0.2264150943396226,0.0,30000.0,2020-02-12T20:25:59,,,,,,,,,8689787.0,0.0,12.0,0.0,1991.0,Acima de 17 anos,1200000.0,False,False,1.0,1707858.0,
143,150,Janet Barnes,Clifford Allan,XSME54122165353551,30,0.316048996,0.0,2019-10-28T00:00:00,32,8300.0,80000.0,AprovadoComite,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,80000.0,2020-02-07T19:52:06,2019-08-31T03:00:00,2564574.0,2639904.0,2564574.0,1301027.0,0.0,1881929.0,348785.0,1023736.0,255830.0,8.0,541342.0,2017.0,De 0 a 5 anos,100000.0,False,True,1.0,720.0,
149,157,Sandra Morris,Ms. Emma Wells,LJAC91348349374248,18,0.0,,2018-06-19T17:18:27,0,0.0,100000.0,AprovadoComite,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,3e-16,100000.0,2020-02-13T13:54:39,2018-12-31T02:00:00,2451304.0,1077694.0,2451304.0,4057991.0,0.0,0.0,96380.0,13144861.0,71893260.0,12.0,5955535.0,2010.0,De 6 a 10 anos,100000.0,False,True,0.0,111772.0,
167,175,Sean Cox-Parsons,Lynne Alexander-Hill,AZWG08314036490509,3,0.4389350443,0.0,2017-07-31T00:00:00,0,42879.29,60000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,60000.0,2020-02-12T17:19:55,2018-12-31T02:00:00,23773568.0,13851725.0,24093560.0,10153690.0,0.0,8475429.0,11860590.0,61496930.0,14216920.0,12.0,47280010.0,1993.0,Acima de 17 anos,100000.0,False,False,1.0,231400.0,
