,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
1,2,Dr. Geoffrey Walsh,Mr. Darren Arnold,JRBK88908250677300,0,0.0,,2019-06-12T17:28:31,0,0.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
9,10,Dr. Dale Dawson,Caroline Hale,NXKJ36775578171965,24,1.20858e-05,0.0,2011-02-24T00:00:00,0,22733.33,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.8315898944,,
13,14,Nicole Fry,Lewis Harris,PVQV57475295829119,52,0.0,,2006-05-01T13:18:05,0,0.0,350000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
17,18,Louise Baker,Martin Andrews,RAYM82479248299653,2,0.3078937009,0.0,2018-07-10T00:00:00,0,0.0,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
24,25,Lynda Saunders,Katherine Clements,LCKD90518287718177,6,0.0,,2010-05-21T17:12:17,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
26,27,Miss Dorothy Phillips,Mr. Kenneth Brooks,SPWA04763690788971,23,0.5536921381,0.0,2007-03-15T00:00:00,0,0.0,70000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
29,30,Fiona Weston,Aimee Marshall,LIYU34722071053277,11,0.5357123203,0.0,2018-06-26T00:00:00,0,0.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
30,31,Debra Wood,Adrian West,KENB40610230940169,0,0.0,,2016-08-25T17:20:08,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
34,35,Lauren Kirk-Fleming,Charlene Miller,KRJP50358458487256,13,0.0,,2018-11-21T17:48:51,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
35,36,Hayley Wilson-Watkins,Mrs. Sharon Fox,LTLQ00302498552900,0,0.4737096339,0.0,2019-02-22T00:00:00,0,0.0,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
