,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
27,28,Declan Bolton,Marcus Stewart,GMDC41398326600676,0,0.0,,2019-12-19T17:29:40,0,0.0,15000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,,,,,,,,,,,47730.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,72400.0,True,True,0.0,0.0,
36,37,Dr. Leslie Mitchell,Brandon Lewis,UQUH72595348437743,135,0.387283882,0.0,2018-06-13T00:00:00,0,0.0,30000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,-0.929780077034291,,,2019-12-31T00:00:00,1592690.0,1592690.0,1592690.0,1165590.0,0.0,0.0,1475537.0,1421389.0,1387232.0,12.0,2554508.0,2012.0,De 6 a 10 anos,100000.0,True,True,1.0,0.0,
41,42,Oliver Nelson,Diane Mellor,JNZU40131737101208,0,0.4327342124,0.0,2020-01-15T00:00:00,0,0.0,10000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.490566037735849,0.5094339622641509,0.0,,,,,,,,,,,172560.0,0.0,12.0,0.0,2019.0,De 0 a 5 anos,5000.0,False,True,1.0,1120.0,
48,51,Dr. Billy Wells,Dr. Christopher Saunders,DDGD62654890764375,3,0.3533614354,0.0,2018-03-22T00:00:00,0,0.0,80000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,0.0,,,2019-10-31T03:00:00,17040601.0,10487000.0,17603497.0,1931629.0,2268831.0,10328670.0,6615614.0,438103964.0,2916036.0,12.0,-27592668.0,2008.0,De 11 a 16 anos,600000.0,True,True,1.0,2700.0,
58,61,Julia Williams,Sandra Campbell,LOHT42032319683132,18,0.2911279282,0.0,2013-12-04T00:00:00,67,100850.04,50000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.866025403784439,,,,,,,,,,,8983936.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,95400.0,True,True,0.9626872291,0.0,
59,62,Iain McDonald,Angela Walker,XUUV78911816655220,5,0.429255171,0.0,2012-05-14T00:00:00,0,0.0,20000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6415094339622641,0.3584905660377358,0.0,,,,,,,,,,,2498876.0,0.0,12.0,0.0,2009.0,De 11 a 16 anos,95000.0,True,True,1.0,34400.0,
84,90,Jack Norris-James,Brian Benson-Brown,EQHY62128162767172,87,0.0,,2017-01-19T11:11:37,0,0.0,27000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.320754716981132,0.6792452830188679,0.866025403784439,,,,,,,,,,,214832.0,0.0,5.0,0.0,2010.0,De 6 a 10 anos,100000.0,True,True,0.0,53585.0,
97,103,Paul Woodward,Vincent Stephenson,XGCX31661930782586,7,0.3932631569,0.0,2007-07-10T00:00:00,0,0.0,65000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6415094339622641,0.3584905660377358,-0.86602540378444,,,2018-12-31T02:00:00,2784673.0,444041.0,2784673.0,2340632.0,0.0,1843446.0,853868.0,2569044.0,424623.0,12.0,-1526301.0,2005.0,De 11 a 16 anos,200000.0,True,True,1.0,34400.0,
111,117,Josephine Peacock,Linda Cook,PVIP17399531351784,15,0.4028954164,0.0,2009-01-21T00:00:00,52,123462.38,260000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,0.0,,,2018-12-31T02:00:00,18005099.0,2754345.0,18007369.0,15253023.0,45038.0,0.0,15934101.0,12255988.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,35000.0,True,True,0.9475701929,0.0,
124,130,Miss Elaine Nicholson,Hazel Brown,HMLH49235417615497,0,0.0,,2020-01-28T16:32:57,0,0.0,70000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,0.0,,,2019-08-31T03:00:00,3488992.0,4433602.0,3592780.0,472217.0,3658024.0,824895.0,1063783.0,3103851.0,279674.0,8.0,-2824177.0,2017.0,De 0 a 5 anos,200000.0,True,False,0.0,5400.0,
126,132,Amber Smith,Chelsea Smith-Cox,EFMB43041243982596,4,0.5074172904,0.0,2013-03-28T00:00:00,0,0.0,240000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.866025403784439,,,2019-12-31T03:00:00,12731021.0,15484796.0,15484796.0,501991.0,0.0,1011239.0,92631190.0,1819859.0,-1469120.0,2.0,2592210.0,1996.0,Acima de 17 anos,95400.0,True,True,1.0,34400.0,
140,147,Dr. Billy Wells,Dr. Christopher Saunders,DDGD62654890764375,3,0.3533614354,0.0,2018-03-22T00:00:00,0,0.0,80000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.6981132075471698,0.3018867924528301,0.0,,,2019-10-31T03:00:00,17040601.0,10487000.0,17603497.0,1931629.0,2306713.0,6615514.0,10328670.0,40775376.0,1132878.0,10.0,0.0,2008.0,De 11 a 16 anos,600000.0,True,True,1.0,2700.0,
150,158,Dr. Max McDonald,Samuel Evans-Williams,DLLY26215095484957,15,0.0,,2017-09-08T14:13:37,0,0.0,30000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,0.0,,,,,,,,,,,1575261.0,0.0,12.0,0.0,2010.0,De 6 a 10 anos,80000.0,True,False,0.0,2200.0,
220,229,Lynne Moore,Mr. Elliot Henry,JHFT04399225850712,24,0.2646673902,0.0,2017-01-16T00:00:00,0,0.0,130000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,0.866025403784439,,,2018-12-31T02:00:00,1720249.0,187745.0,1762231.0,945470.0,97341.0,512793.0,555877.0,3818823.0,181467.0,12.0,-1816507.0,2015.0,De 0 a 5 anos,600000.0,False,True,0.9346440968,13200.0,
236,245,Gemma Charlton,Lydia Morrison,VSWM57040130755217,21,0.2943141269,15.29810955,2019-08-09T00:00:00,107,0.0,20000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6415094339622641,0.3584905660377358,0.0,,,,,,,,,,,229996561.0,0.0,5.0,0.0,1998.0,Acima de 17 anos,100000.0,True,False,1.0,136500.0,
264,273,Charlotte Heath-Reynolds,Sarah Atkinson-Smith,RQOR37271630764497,3,0.4608311863,0.0,2015-07-15T00:00:00,0,0.0,20000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6415094339622641,0.3584905660377358,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,2005.0,De 11 a 16 anos,20000.0,True,False,1.0,52800.0,
299,312,Lynne Moore,Mr. Elliot Henry,JHFT04399225850712,24,0.2646673902,0.0,2017-01-16T00:00:00,0,0.0,130000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,0.866025403784439,,,2019-12-31T03:00:00,18365990.0,308690.0,18701390.0,985676.0,0.0,673767.0,437591.0,1103714.0,0.0,12.0,0.0,2015.0,De 0 a 5 anos,600000.0,False,True,0.9346440968,13200.0,
306,319,Geoffrey Watson,Debra Bray,HWGZ20826741144092,99,0.0,,2010-06-23T17:12:19,0,0.0,15000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,-0.910947595134355,,,,,,,,,,,1504186.0,0.0,12.0,0.0,2010.0,De 6 a 10 anos,60000.0,True,True,0.0,720.0,
312,325,Mr. Charlie Jenkins,Jeremy Mason,VHYJ58683844676302,0,0.0,,2020-02-05T17:29:56,0,0.0,15000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5471698113207547,0.4528301886792452,0.0,,,,,,,,,,,851725.0,0.0,12.0,0.0,2010.0,De 6 a 10 anos,20000.0,True,True,0.0,0.0,
329,342,Declan Hall-Phillips,Aimee Cooper,RPIW31490472382571,14,0.5189080828,0.0,2017-09-18T00:00:00,18,4819.37,40000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,0.0,,,,,,,,,,,1570281.0,0.0,12.0,0.0,2005.0,De 11 a 16 anos,72400.0,True,True,1.0,720.0,
332,345,Sian Evans,Marie Chapman,AXJA46741304327572,20,0.2964319012,0.0,2017-03-20T00:00:00,0,0.0,30000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4150943396226415,0.5849056603773584,0.0,,,2019-06-30T00:00:00,1857065.0,1957368.0,2126654.0,131693.0,1076971.0,622952.0,615112.0,1854396.0,836285.0,6.0,1018111.0,2016.0,De 0 a 5 anos,100000.0,True,True,1.0,16500.0,
340,353,Charlotte Heath-Reynolds,Sarah Atkinson-Smith,RQOR37271630764497,3,0.4608311863,0.0,2015-07-15T00:00:00,0,0.0,30000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7547169811320754,0.2452830188679245,0.0,,,,,,,,,,,6757277.0,0.0,12.0,0.0,2005.0,De 11 a 16 anos,20000.0,True,False,1.0,52800.0,
344,358,Sophie Green,Edward Jones,TNBC71231349846118,23,0.4483510729,0.0,2018-05-09T00:00:00,0,0.0,10000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.3396226415094339,0.660377358490566,-0.866025403784438,,,,,,,,,,,382300.0,0.0,12.0,0.0,2011.0,De 6 a 10 anos,140000.0,True,True,1.0,2960.0,
371,387,Ruth Ellis,Ms. Chelsea Winter,PQSO31754835353944,3,0.3740398853,0.0,2017-06-14T00:00:00,86,25409.5,40000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7924528301886792,0.2075471698113207,0.0,,,,,,,,,,,26629112.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,200000.0,True,False,1.0,0.0,
374,390,Dr. Nigel Scott,Derek Hill,HACJ40097641322816,3,0.0,,2019-03-11T17:28:04,0,0.0,17000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5094339622641509,0.490566037735849,0.0,,,2018-09-30T00:00:00,191251.0,4306.0,191251.0,150000.0,0.0,0.0,9887.0,68529.0,43547.0,3.0,24983.0,2018.0,De 0 a 5 anos,150000.0,True,True,0.0,1720.0,
375,392,Clive Harvey,Dr. Brian Bryan,CRBJ02558207289280,23,0.6370290539,0.0,2018-09-11T00:00:00,68,5735.78,20000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,0.0,,,,,,,,,,,44678633.0,0.0,12.0,0.0,1984.0,Acima de 17 anos,20000.0,True,False,1.0,418133.0,
402,420,Sam Morris,Josephine Dodd,YYZE77104540698855,12,0.3541794647,0.0,2018-07-31T00:00:00,0,0.0,15000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,,,,,,,,,,,4587574.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,1500000.0,True,False,1.0,52500.0,
407,425,Carolyn Taylor,Katy Carter-Benson,UDSU64936459507935,0,0.2817467795,0.0,2020-02-19T00:00:00,0,0.0,50000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,,,2019-12-31T00:00:00,1281008.0,1162583.0,1372485.0,18377.0,0.0,296487.0,749917.0,5345726.0,1341423.0,12.0,4004303.0,2017.0,De 0 a 5 anos,10000.0,False,True,1.0,7040.0,
408,426,Dr. Andrew Wood,Kenneth Thomson,CZEO09131807989562,15,0.5458447443,0.0,2019-03-29T00:00:00,0,0.0,11800.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5283018867924528,0.4716981132075471,0.0,,,2019-12-31T00:00:00,7063.0,28070.0,7063.0,-27007.0,25000.0,0.0,0.0,37598.0,0.0,11.0,0.0,2019.0,De 0 a 5 anos,10000.0,False,False,1.0,1760.0,
410,428,Benjamin Foster,Miss Tracy Cole,FAGQ40490232158290,8,0.5270247688,0.0,2019-12-03T00:00:00,0,0.0,40000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,,,2019-12-31T00:00:00,219832.0,6466.0,219832.0,213366.0,0.0,12853.0,0.0,13366.0,0.0,12.0,0.0,2011.0,De 6 a 10 anos,200000.0,False,False,1.0,4320.0,
421,439,Mr. Robert Elliott,Mr. Brett Kelly,HNNC71234011503718,17,0.5233159885,0.0,2019-08-20T00:00:00,0,0.0,30000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.320754716981132,0.6792452830188679,0.866025403784439,,,,,,,,,,,5074536.0,0.0,12.0,0.0,2016.0,De 0 a 5 anos,300000.0,True,True,1.0,79238.0,
422,440,Ms. Debra Wade,Rachel Harris-Reynolds,VOXK39980489641860,26,0.4012288618,0.0,2011-05-02T00:00:00,0,0.0,264000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5283018867924528,0.4716981132075471,0.796774882444864,,,2019-06-30T03:00:00,1742422.0,2456488.0,2637422.0,180933.0,1551513.0,2395273.0,1585297.0,1342432.0,-197905.0,6.0,1540337.0,2009.0,De 11 a 16 anos,800000.0,False,True,1.0,108800.0,
435,453,Mitchell Bibi-Greenwood,Graham Thorpe,VWEH77527368527919,98,0.6054713933,0.0,2013-04-08T00:00:00,0,0.0,20000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.320754716981132,0.6792452830188679,0.95141874012098,,,,,,,,,,,1148304.0,0.0,12.0,0.0,2012.0,De 6 a 10 anos,62200.0,True,True,0.854757422,26400.0,
440,458,Harry Brooks,Lindsey Robinson,ZKXG66965585149294,4,0.410118929,0.0,2019-10-31T00:00:00,118,529820.0,235000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7924528301886792,0.2075471698113207,0.866025403784438,,,2019-12-31T03:00:00,11833814.0,7302151.0,12108532.0,4655598.0,0.0,6154334.0,5005128.0,10857648.0,3011694.0,12.0,7845954.0,2009.0,De 11 a 16 anos,10000.0,False,False,1.0,172000.0,
444,462,Arthur Singh-Hopkins,Mathew Jones,MYUU82386146576827,0,0.0,,2020-02-17T17:29:42,0,0.0,20000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,,,2018-12-31T00:00:00,8320950.0,4807039.0,11244780.0,6437741.0,0.0,7308360.0,846974.0,24039928.0,13670784.0,12.0,10369144.0,2013.0,De 6 a 10 anos,1000000.0,True,True,0.0,550763.0,
495,513,Andrew Wood,Mr. Robin Smith,RPVV45353639813861,18,0.0,,2016-03-08T17:10:13,0,0.0,40000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,-0.866025403784439,,,,,,,,,,,10623441.0,0.0,12.0,0.0,1998.0,Acima de 17 anos,841150.0,True,True,0.0,209286.0,
498,516,Dominic Leach,Emma Carey-Richardson,DJQY68299091886555,30,0.0,,2017-10-05T17:24:34,0,0.0,40000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.806604306568658,,,2018-12-31T00:00:00,1692746.0,908963.0,1997761.0,313202.0,261519.0,601187.0,1076792.0,7545846.0,5840073.0,12.0,1723742.0,2001.0,Acima de 17 anos,100000.0,True,True,0.0,212765.0,
499,517,Dylan Patel,Pamela O'Connor-Elliott,UROK12989214376913,6,0.5139604305,0.0,2017-08-04T00:00:00,0,0.0,15000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,-0.940223005840747,,,2018-12-31T00:00:00,10647649.0,832513.0,10656649.0,9824135.0,38086.0,33391.0,505050.0,5082480.0,2623634.0,11.0,2458846.0,2000.0,Acima de 17 anos,120000.0,True,True,0.8922904451,2700.0,
509,527,Dr. Grace Smith,Billy Bolton,XKXY96762412914186,41,0.5298735164,0.0,2010-09-14T00:00:00,11,6985.33,48500.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5283018867924528,0.4716981132075471,0.381911741119029,,,,,,,,,,,4824041.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,100000.0,True,False,0.7458995387,0.0,
555,573,Robin Morley,Mandy Blake,PHAH89661785417349,15,0.3196524397,0.0,2014-05-08T00:00:00,12,1428.0,16000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,,,2018-12-31T00:00:00,70088.0,41968.0,74551.0,74551.0,11867.0,26295.0,30368.0,185078.0,41213.0,12.0,143865.0,2009.0,De 11 a 16 anos,2551000.0,False,False,1.0,5595680.0,
557,575,Clare Randall,Nicholas Davies,GAWV71560677199029,5,0.447296065,0.0,2017-09-11T00:00:00,0,0.0,50000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.985792171963772,,,,,,,,,,,8479964.0,0.0,6.0,0.0,2013.0,De 6 a 10 anos,15000.0,True,True,0.9706242738,84000.0,
592,610,Jeremy Wright-Murphy,Lee Gill,WTAU90116885899102,19,0.0,,2018-10-17T17:27:18,0,0.0,20000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5471698113207547,0.4528301886792452,0.866025403784439,,,,,,,,,,,4588462.0,0.0,12.0,0.0,2010.0,De 6 a 10 anos,50000.0,True,True,0.0,34400.0,
605,623,Katy Wood,Dr. Sean Harvey,ACBW38897749588448,0,0.0,,2018-09-26T17:24:28,0,0.0,5000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5283018867924528,0.4716981132075471,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,2015.0,De 0 a 5 anos,200000.0,True,False,0.0,5400.0,
617,635,Dominic Leach,Emma Carey-Richardson,DJQY68299091886555,30,0.0,,2017-10-05T17:24:34,0,0.0,10000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.6415094339622641,0.3584905660377358,0.806604306568658,,,2018-12-31T00:00:00,1692746.0,908963.0,1997761.0,313202.0,0.0,601187.0,1076792.0,7545846.0,5822104.0,12.0,1723742.0,2001.0,Acima de 17 anos,100000.0,True,False,0.0,212765.0,
618,636,Abdul West-Goddard,Joseph Lee,HYNB58011790687263,5,0.1565259963,0.0,2018-10-29T00:00:00,0,0.0,253000.0,ReprovadoAnalista,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,0.0,,,2018-12-31T02:00:00,1420640.0,235135.0,1420640.0,413591.0,0.0,1038825.0,78330.0,1417558.0,493034.0,12.0,924524.0,2017.0,De 0 a 5 anos,100000.0,True,True,1.0,0.0,
649,667,Jake Kennedy-Hilton,Brett Young-Marshall,JRUV64006011559433,36,0.5403541885,0.0,2017-08-01T00:00:00,0,0.0,160000.0,ReprovadoAnalista,De 11 a 30 % - Baixo,0.7547169811320754,0.2452830188679245,0.0,,,2018-11-30T02:00:00,34733606.0,21126223.0,44969518.0,23843294.0,0.0,0.0,10235911.0,121089914.0,14919173.0,11.0,106170741.0,1970.0,Acima de 17 anos,1.0,True,True,1.0,0.0,
